Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Segment,Region,Category,Unit_Price,Quantity,Discount,Sales,Profit,Profit_Margin,Payment_Method,Year,Month,Quarter,Discount_Bucket
ORD-100001,2022-08-17,2022-08-21,Express,CUST-12848,Consumer,North,Electronics,774.16,2,0.04,1486.39,244.32,0.1644,UPI,2022,8,Q3,Low (1-10%)
ORD-100002,2024-05-14,2024-05-18,Express,CUST-31295,Consumer,North,Electronics,1151.09,7,0.35,5237.46,52.37,0.01,UPI,2024,5,Q2,Very High (31%+)
ORD-100003,2024-05-09,2024-05-16,Standard,CUST-23848,Home Office,East,Clothing,67.32,1,0.35,43.76,8.27,0.1889,Net Banking,2024,5,Q2,Very High (31%+)
ORD-100004,2023-11-28,2023-12-04,Standard,CUST-37770,Corporate,North,Clothing,151.43,2,0.08,278.63,99.34,0.3565,Debit Card,2023,11,Q4,Low (1-10%)
ORD-100005,2023-12-06,2023-12-09,Express,CUST-12582,Corporate,West,Beauty & Health,17.89,10,0.18,146.7,60.35,0.4114,COD,2023,12,Q4,Medium (11-20%)
ORD-100006,2023-08-24,2023-08-26,Express,CUST-31668,Home Office,East,Books & Media,31.66,5,0.23,121.89,33.49,0.2748,UPI,2023,8,Q3,High (21-30%)
ORD-100007,2023-04-12,2023-04-13,Same-Day,CUST-30830,Home Office,West,Sports & Outdoor,279.15,7,0.17,1621.86,353.12,0.2177,Debit Card,2023,4,Q2,Medium (11-20%)
ORD-100008,2024-01-18,2024-01-20,Express,CUST-29960,Corporate,South,Electronics,535.7,1,0.03,519.63,86.28,0.166,UPI,2024,1,Q1,Low (1-10%)
ORD-100009,2022-12-17,2022-12-24,Standard,CUST-28250,Consumer,North,Home & Furniture,127.27,4,0.23,391.99,64.99,0.1658,Wallet,2022,12,Q4,High (21-30%)
ORD-100010,2023-03-26,2023-04-01,Standard,CUST-23145,Corporate,West,Beauty & Health,24.35,1,0.08,22.4,10.97,0.4897,Credit Card,2023,3,Q1,Low (1-10%)
ORD-100011,2023-07-03,2023-07-06,Express,CUST-22964,Corporate,West,Electronics,1302.87,4,0.05,4950.91,964.75,0.1949,Credit Card,2023,7,Q3,Low (1-10%)
ORD-100012,2024-07-28,2024-07-31,Express,CUST-39419,Corporate,North,Electronics,910.27,1,0.26,673.6,37.23,0.0553,Net Banking,2024,7,Q3,High (21-30%)
ORD-100013,2024-03-28,2024-04-02,Standard,CUST-15008,Consumer,West,Clothing,179.89,1,0.05,170.9,69.22,0.405,Net Banking,2024,3,Q1,Low (1-10%)
ORD-100014,2022-11-24,2022-12-01,Standard,CUST-18238,Consumer,South,Sports & Outdoor,382.93,1,0.26,283.37,56.47,0.1993,COD,2022,11,Q4,High (21-30%)
ORD-100015,2022-01-24,2022-01-27,Express,CUST-13655,Home Office,North,Beauty & Health,45.27,1,0.31,31.24,8.88,0.2843,Net Banking,2022,1,Q1,Very High (31%+)
ORD-100016,2023-08-25,2023-08-27,Same-Day,CUST-34967,Small Business,South,Home & Furniture,215.03,1,0.16,180.63,27.7,0.1533,Credit Card,2023,8,Q3,Medium (11-20%)
